"","species","SpecCode","Order","Family","DemersPelag","DepthRangeDeep","BodyShapeI","Lmax","EnvTemp","TL","K","tm","Habitat","Pelagic"
"184","Etroplus suratensis",4681,"Perciformes","Cichlidae","benthopelagic",NA,"short_deep",40,"tropical",2.91,0.36,2,"Freshwater",0
"185","Gibelion catla",4439,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",182,"tropical",2.8,0.32,1.9,"Freshwater",0
"186","Cirrhinus mrigala",66743,"Cypriniformes","Cyprinidae","demersal",NA,"elongate",99,"tropical",2.19,1.35,0.5,"Freshwater",0
"187","Labeo rohita",82,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",200,"tropical",2.19,0.28,2.2,"Freshwater",0
"188","Labeo dussumieri",13631,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",50,"tropical",2,0.16,4.2,"Freshwater",0
"189","Channa orientalis",5143,"Perciformes","Channidae","benthopelagic",NA,"elongate",33,"tropical",3.83,0.45,1.6,"Brackish",0
"190","Schilbe grenfelli",9385,"Siluriformes","Schilbeidae","demersal",NA,"fusiform",50.7,"tropical",3.47,0.16,4.2,"Freshwater",0
"191","Clarias gabonensis",2094,"Siluriformes","Clariidae","demersal",NA,"elongate",36,"tropical",3.27,0.45,1.6,"Freshwater",0
"192","Parauchenoglanis punctatus",9278,"Siluriformes","Claroteidae","demersal",NA,"elongate",41,"tropical",3.81,0.33,2.1,"Freshwater",0
"193","Brycinus longipinnis",5234,"Characiformes","Alestidae","pelagic",NA,"fusiform",16.4,"tropical",3.11,0.94,0.8,"Freshwater",1
"194","Brycinus kingsleyae",11090,"Characiformes","Alestidae","pelagic",NA,"fusiform",16.55,"tropical",3.13,0.78,1,"Brackish",1
"195","Hepsetus kingsleyae",66928,"Characiformes","Hepsetidae","pelagic",NA,"elongate",21.95,"tropical",2.98,0.75,1,"Freshwater",1
"196","Hemichromis elongatus",59782,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",18.7,"tropical",3.65,0.55,1.4,"Freshwater",0
"197","Xenocharax spilurus",11262,"Characiformes","Distichodontidae","pelagic",NA,"fusiform",26,"tropical",2.94,0.81,0.9,"Freshwater",1
"198","Chrysichthys thysi",9325,"Siluriformes","Claroteidae","demersal",NA,"elongate",30,"tropical",3.3,0.44,1.6,"Freshwater",0
"199","Mastacembelus niger",10092,"Synbranchiformes","Mastacembelidae","demersal",NA,"elongate",37.5,"tropical",3.85,0.33,2.1,"Freshwater",0
"200","Mastacembelus marchei",10090,"Synbranchiformes","Mastacembelidae","benthopelagic",NA,"elongate",32.6,"tropical",3.81,0.38,1.9,"Freshwater",0
"201","Oreochromis macrochir",1396,"Perciformes","Cichlidae","benthopelagic",14,"fusiform",43,"tropical",2.15,0.27,2.6,"Freshwater",0
"202","Pelmatolapia cabrae",8909,"Perciformes","Cichlidae","demersal",NA,"short_deep",37,"tropical",3.53,0.35,2,"Freshwater",0
"203","Oreochromis schwebischi",1447,"Perciformes","Cichlidae","benthopelagic",NA,"short_deep",30,"tropical",2,0.36,2,"Freshwater",0
"204","Alestes macrophthalmus",5230,"Characiformes","Alestidae","pelagic",NA,"fusiform",60,"tropical",2,1.09,0.6,"Freshwater",1
"205","Pseudocrenilabrus philander",6891,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",13,"tropical",3.74,0.93,0.9,"Freshwater",0
"206","Clarias buthupogon",2095,"Siluriformes","Clariidae","demersal",NA,"elongate",30.1,"tropical",3.25,0.53,1.4,"Freshwater",0
"207","Lates angustifrons",4497,"Perciformes","Latidae","demersal",NA,"fusiform",200,"tropical",4.5,0.25,2.3,"Freshwater",0
"208","Lates mariae",9898,"Perciformes","Latidae","demersal",75,"fusiform",80,"tropical",4.19,0.22075,3.5,"Freshwater",0
"209","Lates microlepis",4801,"Perciformes","Latidae","pelagic",NA,"fusiform",93,"tropical",4.35,0.34,4,"Freshwater",1
"210","Oreochromis tanganicae",1440,"Perciformes","Cichlidae","benthopelagic",NA,"short_deep",42,"tropical",2,0.31,2.2,"Freshwater",0
"211","Brachyplatystoma vaillantii",7555,"Siluriformes","Pimelodidae","demersal",NA,"elongate",150,"tropical",4.5,0.12,4.9,"Brackish",0
"212","Hypophthalmus marginatus",25736,"Siluriformes","Pimelodidae","demersal",NA,"elongate",55,"tropical",3.4,0.56,1.2,"Freshwater",0
"213","Pseudoplatystoma reticulatum",66249,"Siluriformes","Pimelodidae","demersal",NA,"elongate",60.5,"tropical",4.21,0.23,2.8,"Freshwater",0
"214","Pseudoplatystoma corruscans",8674,"Siluriformes","Pimelodidae","demersal",NA,"fusiform",166,"tropical",4.5,0.11,5.3,"Freshwater",0
"215","Brycon hilarii",52994,"Characiformes","Bryconidae","benthopelagic",NA,"fusiform",56,"tropical",2,0.34,2,"Freshwater",0
"216","Triportheus nematurus",56686,"Characiformes","Triportheidae","benthopelagic",NA,"short_deep",18.3,"tropical",2.82,0.396877216656436,1.92829469744829,"Freshwater",0
"217","Geophagus sveni",65427,"Perciformes","Cichlidae","demersal",NA,"short_deep",16.7,"tropical",2.3,0.61,1.3,"Freshwater",0
"218","Metynnis maculatus",11940,"Characiformes","Serrasalmidae","pelagic",NA,"short_deep",18,"tropical",2.9,1.22,0.6,"Freshwater",1
"219","Hypophthalmus oremaculatus",51777,"Siluriformes","Pimelodidae","demersal",NA,"fusiform",30,"tropical",3.4,0.3,4.3,"Freshwater",0
"220","Geophagus brasiliensis",4751,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",28,"tropical",2.57,0.0775,2,"Brackish",0
"221","Megaleporinus macrocephalus",52574,"Characiformes","Anostomidae","benthopelagic",NA,"elongate",68.4,"tropical",2.45,0.16,4,"Freshwater",0
"222","Ameiurus catus",3018,"Siluriformes","Ictaluridae","demersal",NA,"fusiform",95,"temperate",3.18,0.24,2.8,"Freshwater",0
"223","Pylodictis olivaris",3051,"Siluriformes","Ictaluridae","demersal",NA,"elongate",155,"temperate",3.78,0.17,3.6,"Freshwater",0
"224","Cyprinodon variegatus",3181,"Cyprinodontiformes","Cyprinodontidae","benthopelagic",NA,"short_deep",9,"tropical",2.9,0.73,1.2,"Freshwater",0
"225","Perca flavescens",359,"Perciformes","Percidae","benthopelagic",56,"fusiform",50,"temperate",3.67,0.3,2.4,"Freshwater",0
"226","Fundulus heteroclitus",3192,"Cyprinodontiformes","Fundulidae","benthopelagic",NA,"fusiform",15,"temperate",3.59,0.83,1,"Freshwater",0
"227","Oreochromis karongae",2042,"Perciformes","Cichlidae","benthopelagic",50,"fusiform",42,"tropical",2,0.24,2.9,"Freshwater",0
"228","Protomelas similis",2116,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",18,"tropical",2,0.69,1.1,"Freshwater",0
"229","Copadichromis virginalis",2296,"Perciformes","Cichlidae","demersal",NA,"fusiform",13.2,"tropical",3,0.778,3,"Freshwater",0
"230","Aulonocara gertrudae",60045,"Perciformes","Cichlidae","benthopelagic",30,"fusiform",11,"tropical",3.57,0.9,0.9,"Freshwater",0
"231","Bagrus meridionalis",4721,"Siluriformes","Bagridae","demersal",60,"elongate",150,"tropical",3.93,0.09,6.7,"Freshwater",0
"232","Engraulicypris sardella",5138,"Cypriniformes","Cyprinidae","demersal",NA,"elongate",13,"tropical",2.93,0.57,1.4,"Freshwater",0
"233","Labeo mesops",5411,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",39,"tropical",2,0.21,3.3,"Freshwater",0
"234","Opsaridium microlepis",5418,"Cypriniformes","Cyprinidae","demersal",NA,"fusiform",47,"tropical",3.34,0.17,4,"Brackish",0
"235","Opsaridium tweddleorum",50198,"Cypriniformes","Cyprinidae","demersal",NA,"fusiform",10.85,"tropical",3.2,0.56,1.5,"Freshwater",0
"236","Rhamphochromis longiceps",2297,"Perciformes","Cichlidae","pelagic",148,"fusiform",28,"tropical",3.83,0.46,1.6,"Freshwater",1
"237","Protomelas kirkii",2112,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",18,"tropical",3.41,0.69,1.1,"Freshwater",0
"238","Oreochromis squamipinnis",2044,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",36,"tropical",2.14,0.26,2.7,"Freshwater",0
"239","Synodontis njassae",5384,"Siluriformes","Mochokidae","benthopelagic",NA,"fusiform",19.2,"tropical",3.1,0.73,1.1,"Freshwater",0
"240","Diplotaxodon argenteus",2263,"Perciformes","Cichlidae","benthopelagic",114,"fusiform",20.4,"tropical",4.2,0.51,1.5,"Freshwater",0
"241","Oreochromis shiranus",1432,"Perciformes","Cichlidae","benthopelagic",NA,"fusiform",39,"tropical",2.51,0.65,1.2,"Freshwater",0
"242","Enteromius paludinosus",7571,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",15,"tropical",2.94,1.4,0.6,"Freshwater",0
"243","Clarias ngamensis",2089,"Siluriformes","Clariidae","demersal",NA,"elongate",73,"tropical",4.3,0.41,1.6,"Freshwater",0
"244","Opsaridium microcephalum",5419,"Cypriniformes","Cyprinidae","demersal",NA,"fusiform",34,"tropical",3.31,0.24,3,"Brackish",0
"245","Tylochromis polylepis",9135,"Perciformes","Cichlidae","demersal",NA,"short_deep",43.5,"tropical",2.97,0.5,1.4,"Brackish",0
"246","Hemibates stenosoma",8598,"Perciformes","Cichlidae","pelagic",NA,"fusiform",30,"tropical",4.07,0.43,1.7,"Freshwater",1
"247","Limnotilapia dardennii",8638,"Perciformes","Cichlidae","demersal",NA,"fusiform",26,"tropical",3.15,0.67,1.2,"Freshwater",0
"248","Ctenopoma muriei",10043,"Perciformes","Anabantidae","benthopelagic",NA,"elongate",6,"tropical",3.02,0.66,1.4,"Brackish",0
"249","Marcusenius macrolepidotus",5405,"Osteoglossiformes","Mormyridae","demersal",NA,"fusiform",32,"tropical",3.2,0.7,1.1,"Freshwater",0
"250","Trichopodus pectoralis",499,"Perciformes","Osphronemidae","benthopelagic",NA,"short_deep",25,"tropical",2.76,0.56,1.3,"Freshwater",0
"251","Clarias batrachus",3054,"Siluriformes","Clariidae","demersal",NA,"elongate",47,"tropical",3.42,0.71,1,"Freshwater",0
"252","Channa striata",343,"Perciformes","Channidae","benthopelagic",10,"elongate",100,"tropical",3.36,0.42,1.6,"Freshwater",0
"253","Pangasianodon hypophthalmus",14154,"Siluriformes","Pangasiidae","benthopelagic",NA,"elongate",130,"tropical",3.12,0.197021698719602,2.92529060481918,"Brackish",0
"254","Cirrhinus cirrhosus",4494,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",100,"tropical",2.4,0.12,4.9,"Freshwater",0
"255","Anabas testudineus",495,"Perciformes","Anabantidae","demersal",NA,"fusiform",25,"tropical",2.98,1.4,0.5,"Freshwater",0
"256","Notopterus notopterus",7990,"Osteoglossiformes","Notopteridae","demersal",NA,"elongate",60,"tropical",3.57,0.22,3,"Brackish",0
"257","Henicorhynchus siamensis",55277,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",20,"tropical",2,0.75,1,"Freshwater",0
"258","Macrochirichthys macrochirus",4949,"Cypriniformes","Cyprinidae","benthopelagic",NA,"elongate",100,"tropical",3.7,0.09,6.8,"Freshwater",0
"259","Monopterus albus",4663,"Synbranchiformes","Synbranchidae","demersal",NA,"elongate",100,"tropical",2.88,0.11,5.6,"Freshwater",0
"260","Hemibagrus nemurus",5427,"Siluriformes","Bagridae","benthopelagic",NA,"fusiform",65,"tropical",3.62,0.11,5.9,"Freshwater",0
"261","Wallago attu",10243,"Siluriformes","Siluridae","demersal",NA,"elongate",240,"tropical",3.68,0.05,11,"Freshwater",0
"262","Mystus alasensis",62249,"Siluriformes","Bagridae","demersal",NA,"elongate",10.82,"tropical",3.26,0.57,1.5,"Freshwater",0
"263","Trichopodus trichopterus",4675,"Perciformes","Osphronemidae","benthopelagic",NA,"short_deep",15,"tropical",2.68,0.74,1.1,"Brackish",0
"264","Chromobotia macracanthus",10897,"Cypriniformes","Cobitidae","demersal",NA,"fusiform",30.5,"tropical",2.85,0.21,3.4,"Freshwater",0
"265","Barbichthys laevis",7993,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",30,"tropical",2.67,0.22,3.3,"Brackish",0
"266","Barbodes binotatus",5180,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",20,"tropical",2.69,0.32,2.4,"Brackish",0
"267","Mystacoleucus padangensis",17425,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",11.6,"tropical",2.28,0.64,1.3,"Freshwater",0
"268","Rasbora tawarensis",22639,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",12,"tropical",3.2,0.62,1.3,"Mixed",0
"269","Nemacheilus chrysolaimos",22973,"Cypriniformes","Nemacheilidae","benthopelagic",NA,"elongate",5,"tropical",2.78,1.05,0.9,"Freshwater",0
"270","Hampala macrolepidota",4803,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",70,"tropical",4.24,0.35,1.9,"Freshwater",0
"271","Leptobarbus hoevenii",4797,"Cypriniformes","Cyprinidae","pelagic",NA,"elongate",100,"tropical",2.76,0.07,8.7,"Brackish",1
"272","Neolissochilus soroides",27086,"Cypriniformes","Cyprinidae","benthopelagic",NA,"elongate",45,"tropical",2.14,0.18,3.8,"Freshwater",0
"273","Thynnichthys vaillanti",22686,"Cypriniformes","Cyprinidae","demersal",NA,"short_deep",26.4,"tropical",2.64,0.3,2.4,"Freshwater",0
"274","Parachela oxygastroides",4947,"Cypriniformes","Cyprinidae","pelagic",NA,"elongate",20,"tropical",3.3,0.32,2.4,"Freshwater",1
"275","Labiobarbus leptocheilus",25195,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",30,"tropical",2.34,0.22,3.3,"Freshwater",0
"276","Rasbora argyrotaenia",5169,"Cypriniformes","Cyprinidae","benthopelagic",NA,"elongate",12,"tropical",2,0.62,1.3,"Freshwater",0
"277","Barbonymus schwanenfeldii",4765,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",35,"tropical",2.35,0.19,3.7,"Freshwater",0
"278","Tor putitora",9194,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",275,"subtropical",2.87,0.07,8.3,"Freshwater",0
"279","Anematichthys repasson",16123,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",28,"tropical",2.62,0.23,3.2,"Freshwater",0
"280","Helostoma temminckii",500,"Perciformes","Helostomatidae","benthopelagic",NA,"short_deep",30,"tropical",2.82,0.351392032774961,2.19724315645384,"Freshwater",0
"281","Mastacembelus erythrotaenia",12026,"Synbranchiformes","Mastacembelidae","demersal",NA,"elongate",100,"tropical",2.74,0.16,3.8,"Freshwater",0
"282","Chitala lopis",8765,"Osteoglossiformes","Notopteridae","demersal",NA,"elongate",150,"tropical",4.5,0.09,6.5,"Mixed",0
"283","Osphronemus goramy",498,"Perciformes","Osphronemidae","benthopelagic",NA,"short_deep",70,"tropical",2.76,0.18,3.6,"Freshwater",0
"284","Pristolepis fasciata",10318,"Perciformes","Pristolepididae","demersal",NA,"short_deep",20,"tropical",3.19,1.16,0.7,"Brackish",0
"285","Phalacronotus parvanalis",23103,"Siluriformes","Siluridae","benthopelagic",NA,"elongate",35,"tropical",4.05,0.22,3.2,"Freshwater",0
"286","Kryptopterus cryptopterus",16139,"Siluriformes","Siluridae","benthopelagic",NA,"elongate",14.6,"tropical",3.92,0.5,1.6,"Freshwater",0
"287","Toxotes chatareus",8079,"Perciformes","Toxotidae","pelagic",NA,"short_deep",40,"tropical",3.99,0.31,2.2,"Freshwater",1
"288","Labeo bata",12075,"Cypriniformes","Cyprinidae","benthopelagic",NA,"fusiform",61,"tropical",2.1,1.5,0.5,"Freshwater",0
"289","Pangasius pangasius",292,"Siluriformes","Pangasiidae","benthopelagic",NA,"fusiform",300,"tropical",3.44,0.138829194877186,3.78604201031002,"Freshwater",0
"290","Gudusia chapra",1601,"Clupeiformes","Clupeidae","pelagic",NA,"fusiform",20,"tropical",3.12,1.31,0.6,"Freshwater",1
"291","Heteropneustes fossilis",4885,"Siluriformes","Heteropneustidae","demersal",1,"elongate",31,"tropical",3.59,1.11,0.7,"Freshwater",0
